QQQ Puts Production Download Started: Fri Aug  8 15:03:26 CST 2025
Range: 2016-01-04 to 2025-08-07
Estimated business days: 2491
Output: /Volumes/SSD 4TB/Theta Terminal/QQQ/2025-08-08
Processing year 2016...
15:52:33 Downloading 20231226...
✓ 20231226 complete (30B)
PROGRESS: 20% (521/2491) | Rate: 636/hr | ETA: 3h 5m
15:52:35 Downloading 20231227...
✓ 20231227 complete (30B)
PROGRESS: 20% (522/2491) | Rate: 637/hr | ETA: 3h 5m
15:52:36 Downloading 20231228...
✓ 20231228 complete (30B)
PROGRESS: 20% (523/2491) | Rate: 638/hr | ETA: 3h 5m
15:52:38 Downloading 20231229...
✓ 20231229 complete (30B)
PROGRESS: 21% (524/2491) | Rate: 638/hr | ETA: 3h 4m
Processing year 2024...
15:52:39 Downloading 20241001...
✓ 20241001 complete (218M)
PROGRESS: 21% (525/2491) | Rate: 628/hr | ETA: 3h 7m
15:53:35 Downloading 20241002...
✓ 20241002 complete (219M)
PROGRESS: 21% (526/2491) | Rate: 614/hr | ETA: 3h 12m
15:54:47 Downloading 20241003...
✓ 20241003 complete (222M)
PROGRESS: 21% (527/2491) | Rate: 608/hr | ETA: 3h 13m
15:55:25 Downloading 20241004...
✓ 20241004 complete (221M)
PROGRESS: 21% (528/2491) | Rate: 598/hr | ETA: 3h 16m
15:56:21 Downloading 20241007...
✓ 20241007 complete (221M)
PROGRESS: 21% (529/2491) | Rate: 592/hr | ETA: 3h 18m
15:56:59 Downloading 20241008...
✓ 20241008 complete (216M)
PROGRESS: 21% (530/2491) | Rate: 582/hr | ETA: 3h 22m
15:58:02 Downloading 20241009...
✓ 20241009 complete (233M)
PROGRESS: 21% (531/2491) | Rate: 576/hr | ETA: 3h 24m
15:58:45 Downloading 20241010...
✓ 20241010 complete (234M)
PROGRESS: 21% (532/2491) | Rate: 565/hr | ETA: 3h 28m
15:59:52 Downloading 20241011...
✓ 20241011 complete (227M)
PROGRESS: 21% (533/2491) | Rate: 560/hr | ETA: 3h 29m
16:00:30 Downloading 20241014...
✓ 20241014 complete (221M)
PROGRESS: 21% (534/2491) | Rate: 553/hr | ETA: 3h 32m
16:01:20 Downloading 20241015...
✓ 20241015 complete (218M)
PROGRESS: 21% (535/2491) | Rate: 547/hr | ETA: 3h 34m
16:02:01 Downloading 20241016...
✓ 20241016 complete (214M)
PROGRESS: 21% (536/2491) | Rate: 540/hr | ETA: 3h 37m
16:02:57 Downloading 20241017...
✓ 20241017 complete (209M)
PROGRESS: 21% (537/2491) | Rate: 535/hr | ETA: 3h 39m
16:03:35 Downloading 20241018...
✓ 20241018 complete (223M)
PROGRESS: 21% (538/2491) | Rate: 527/hr | ETA: 3h 42m
16:04:35 Downloading 20241021...
✓ 20241021 complete (218M)
PROGRESS: 21% (539/2491) | Rate: 523/hr | ETA: 3h 43m
16:05:12 Downloading 20241022...
✓ 20241022 complete (213M)
PROGRESS: 21% (540/2491) | Rate: 515/hr | ETA: 3h 47m
16:06:19 Downloading 20241023...
✓ 20241023 complete (211M)
PROGRESS: 21% (541/2491) | Rate: 511/hr | ETA: 3h 48m
16:06:54 Downloading 20241024...
✓ 20241024 complete (209M)
PROGRESS: 21% (542/2491) | Rate: 506/hr | ETA: 3h 51m
16:07:43 Downloading 20241025...
✓ 20241025 complete (205M)
PROGRESS: 21% (543/2491) | Rate: 501/hr | ETA: 3h 53m
16:08:28 Downloading 20241028...
✓ 20241028 complete (221M)
PROGRESS: 21% (544/2491) | Rate: 496/hr | ETA: 3h 55m
16:09:15 Downloading 20241029...
✓ 20241029 complete (219M)
PROGRESS: 21% (545/2491) | Rate: 491/hr | ETA: 3h 57m
16:09:58 Downloading 20241030...
✓ 20241030 complete (223M)
PROGRESS: 21% (546/2491) | Rate: 487/hr | ETA: 3h 59m
16:10:36 Downloading 20241031...
✓ 20241031 complete (223M)
PROGRESS: 21% (547/2491) | Rate: 483/hr | ETA: 4h 1m
16:11:18 Downloading 20241101...
✓ 20241101 complete (234M)
PROGRESS: 21% (548/2491) | Rate: 479/hr | ETA: 4h 3m
Skip 20241104 (exists)
Skip 20241105 (exists)
Skip 20241106 (exists)
16:11:59 Downloading 20241107...
✓ 20241107 complete (237M)
PROGRESS: 22% (552/2491) | Rate: 478/hr | ETA: 4h 3m
16:12:43 Downloading 20241108...
✓ 20241108 complete (243M)
PROGRESS: 22% (553/2491) | Rate: 474/hr | ETA: 4h 5m
16:13:22 Downloading 20241111...
✓ 20241111 complete (236M)
PROGRESS: 22% (554/2491) | Rate: 471/hr | ETA: 4h 6m
16:14:00 Downloading 20241112...
✓ 20241112 complete (239M)
PROGRESS: 22% (555/2491) | Rate: 466/hr | ETA: 4h 9m
16:14:46 Downloading 20241113...
✓ 20241113 complete (234M)
PROGRESS: 22% (556/2491) | Rate: 463/hr | ETA: 4h 10m
16:15:27 Downloading 20241114...
✓ 20241114 complete (231M)
PROGRESS: 22% (557/2491) | Rate: 458/hr | ETA: 4h 13m
16:16:20 Downloading 20241115...
✓ 20241115 complete (234M)
PROGRESS: 22% (558/2491) | Rate: 453/hr | ETA: 4h 16m
16:17:13 Downloading 20241118...
✓ 20241118 complete (228M)
PROGRESS: 22% (559/2491) | Rate: 448/hr | ETA: 4h 18m
16:18:16 Downloading 20241119...
✓ 20241119 complete (222M)
PROGRESS: 22% (560/2491) | Rate: 444/hr | ETA: 4h 20m
16:19:00 Downloading 20241120...
✓ 20241120 complete (228M)
PROGRESS: 22% (561/2491) | Rate: 438/hr | ETA: 4h 24m
16:20:12 Downloading 20241121...
✓ 20241121 complete (225M)
PROGRESS: 22% (562/2491) | Rate: 435/hr | ETA: 4h 26m
16:20:54 Downloading 20241122...
✓ 20241122 complete (220M)
PROGRESS: 22% (563/2491) | Rate: 429/hr | ETA: 4h 29m
16:22:02 Downloading 20241125...
✓ 20241125 complete (213M)
PROGRESS: 22% (564/2491) | Rate: 427/hr | ETA: 4h 30m
16:22:41 Downloading 20241126...
✓ 20241126 complete (211M)
PROGRESS: 22% (565/2491) | Rate: 422/hr | ETA: 4h 33m
16:23:44 Downloading 20241127...
✓ 20241127 complete (215M)
PROGRESS: 22% (566/2491) | Rate: 419/hr | ETA: 4h 35m
16:24:22 Downloading 20241128...
✓ 20241128 complete (30B)
PROGRESS: 22% (567/2491) | Rate: 420/hr | ETA: 4h 34m
16:24:24 Downloading 20241129...
✓ 20241129 complete (213M)
PROGRESS: 22% (568/2491) | Rate: 417/hr | ETA: 4h 36m
16:25:04 Downloading 20241202...
✓ 20241202 complete (207M)
PROGRESS: 22% (569/2491) | Rate: 413/hr | ETA: 4h 39m
16:26:05 Downloading 20241203...
✓ 20241203 complete (204M)
PROGRESS: 22% (570/2491) | Rate: 410/hr | ETA: 4h 41m
16:26:39 Downloading 20241204...
✓ 20241204 complete (216M)
PROGRESS: 22% (571/2491) | Rate: 407/hr | ETA: 4h 43m
16:27:31 Downloading 20241205...
✓ 20241205 complete (218M)
PROGRESS: 22% (572/2491) | Rate: 404/hr | ETA: 4h 45m
16:28:12 Downloading 20241206...
✓ 20241206 complete (243M)
PROGRESS: 23% (573/2491) | Rate: 400/hr | ETA: 4h 47m
16:29:22 Downloading 20241209...
✓ 20241209 complete (236M)
PROGRESS: 23% (574/2491) | Rate: 397/hr | ETA: 4h 49m
16:30:09 Downloading 20241210...
✓ 20241210 complete (238M)
PROGRESS: 23% (575/2491) | Rate: 392/hr | ETA: 4h 53m
16:31:16 Downloading 20241211...
✓ 20241211 complete (233M)
PROGRESS: 23% (576/2491) | Rate: 390/hr | ETA: 4h 54m
16:31:56 Downloading 20241212...
✓ 20241212 complete (230M)
PROGRESS: 23% (577/2491) | Rate: 387/hr | ETA: 4h 56m
16:32:50 Downloading 20241213...
✓ 20241213 complete (231M)
PROGRESS: 23% (578/2491) | Rate: 384/hr | ETA: 4h 58m
16:33:35 Downloading 20241216...
✓ 20241216 complete (227M)
PROGRESS: 23% (579/2491) | Rate: 381/hr | ETA: 5h 1m
16:34:32 Downloading 20241217...
✓ 20241217 complete (229M)
PROGRESS: 23% (580/2491) | Rate: 379/hr | ETA: 5h 2m
16:35:15 Downloading 20241218...
✓ 20241218 complete (225M)
PROGRESS: 23% (581/2491) | Rate: 376/hr | ETA: 5h 4m
16:36:07 Downloading 20241219...
✓ 20241219 complete (220M)
PROGRESS: 23% (582/2491) | Rate: 374/hr | ETA: 5h 6m
16:36:48 Downloading 20241220...
✓ 20241220 complete (226M)
PROGRESS: 23% (583/2491) | Rate: 371/hr | ETA: 5h 8m
16:37:40 Downloading 20241223...
✓ 20241223 complete (211M)
PROGRESS: 23% (584/2491) | Rate: 369/hr | ETA: 5h 10m
16:38:16 Downloading 20241224...
✓ 20241224 complete (215M)
PROGRESS: 23% (585/2491) | Rate: 368/hr | ETA: 5h 10m
16:38:46 Downloading 20241225...
✓ 20241225 complete (30B)
PROGRESS: 23% (586/2491) | Rate: 368/hr | ETA: 5h 10m
16:38:48 Downloading 20241226...
✓ 20241226 complete (215M)
PROGRESS: 23% (587/2491) | Rate: 367/hr | ETA: 5h 11m
16:39:16 Downloading 20241227...
✓ 20241227 complete (232M)
PROGRESS: 23% (588/2491) | Rate: 366/hr | ETA: 5h 11m
16:39:46 Downloading 20241230...
✓ 20241230 complete (224M)
PROGRESS: 23% (589/2491) | Rate: 363/hr | ETA: 5h 14m
16:40:47 Downloading 20241231...
✓ 20241231 complete (220M)
PROGRESS: 23% (590/2491) | Rate: 360/hr | ETA: 5h 16m
Processing year 2025...
Download complete: Fri Aug  8 16:41:36 CST 2025
Final stats: 191 success, 0 failed, 399 skipped

File summary:
Total files:      590
Total size:  26G
